locationName,postalCode,streetAddress,streetAddress2,fullAddress,city,state,storeID
First Colony,77479,2675 Town Center Boulevard,,"2675 Town Center Boulevard, Sugarland, TX, 77479",Sugarland,TX,sugar-land-first-colony
Elmwood,70123,1200 S. Clearview Pkwy,Suite 1314,"1200 S. Clearview Pkwy, Suite 1314, Harahan, LA, 70123",Harahan,LA,harahan-elmwood
Fountains at Farrah,79925,8889 Gateway Blvd. West,Suite 1400,"8889 Gateway Blvd. West, Suite 1400, El Paso, TX, 79925",El Paso,TX,el-paso-fountains-at-farrah
East Cobb,30062,4101 Roswell Road,Suite 812,"4101 Roswell Road, Suite 812, Marietta, GA, 30062",Marietta,GA,marietta-east-cobb
DFW,75261,3200 E. Airfield Drive,Terminal A Gate A25,"3200 E. Airfield Drive, Terminal A Gate A25, Dallas, TX, 75261",Dallas,TX,dfw
Dallas Love Field,75235,8008 Cedar Springs Rd.,Terminal 2 Gate 6,"8008 Cedar Springs Rd., Terminal 2 Gate 6, Dallas, TX, 75235",Dallas,TX,dallas-love-field
Columbia,21045,6211 Columbia Crossing,,"6211 Columbia Crossing, Columbia, MD, 21045",Columbia,MD,columbia
Collin Creek,75075,520 W. 15th Street,,"520 W. 15th Street, Plano, TX, 75075",Plano,TX,plano-collin-creek
Buford,30519,1795 Mall of Georgia Boulevard,,"1795 Mall of Georgia Boulevard, Buford, GA, 30519",Buford,GA,buford
Bethesda,20814,7607 Old Georgetown Road,,"7607 Old Georgetown Road, Bethesda, MD, 20814",Bethesda,MD,baileys-crossroads
Bailey's Crossroads,22041,5861 Crossroads Center Way,,"5861 Crossroads Center Way, Bailey's Crossroads, VA, 22041",Bailey's Crossroads,VA,baileys-crossroads-2
Gwinnett,30096,2255 Pleasant Hill Road,Suite 480,"2255 Pleasant Hill Road, Suite 480, Duluth, GA, 30096",Duluth,GA,duluth-gwinnett
Kingsgate,79424,8201 Quaker Avenue,Suite 118,"8201 Quaker Avenue, Suite 118, Lubbock, TX, 79424",Lubbock,TX,lubbock-kingsgate
West Little Rock,72211,12210 W. Markham Drive,,"12210 W. Markham Drive, Little Rock, AR, 72211",Little Rock,AR,little-rock
Mandeville,70471,3434 Highway 190,,"3434 Highway 190, Mandeville, LA, 70471",Mandeville,LA,mandeville
Tanglewood,77057,5885 San Felipe Street,Suite 100,"5885 San Felipe Street, Suite 100, Houston, TX, 77057",Houston,TX,houston-tanglewood
Tyler,75701,419 WSW Loop 323,,"419 WSW Loop 323, Tyler, TX, 75701",Tyler,TX,tyler
Tulsa Hills,74107,8115 S. Olympia Avenue West,,"8115 S. Olympia Avenue West, Tulsa, OK, 74107",Tulsa,OK,tulsa-hills
Town & Country,77024,770 W. Sam Houston Parkway N.,Suite 100,"770 W. Sam Houston Parkway N., Suite 100, Houston, TX, 77024",Houston,TX,houston-town-country
The Forum,78154,8134 Agora Parkway,Suite 100,"8134 Agora Parkway, Suite 100, Live Oak, TX, 78154",Live Oak,TX,live-oak-the-forum
Sunset Valley,78745,5493 Brodie Lane,,"5493 Brodie Lane, Austin, TX, 78745",Austin,TX,austin-sunset-valley
South Arlington,76015,4201 S. Cooper Street,Suite 731,"4201 S. Cooper Street, Suite 731, Arlington, TX, 76015",Arlington,TX,south-arlington
